date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:08	134/134	---M--	200	added ('OK')	text/plain	etag:W/%223909c6e2dd22e681631bcb710c7b2066%22	http://amberdirect.weebly.com/robots.txt		(from )
09:07:08	417/417	---M-Z	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202016%2013:10:05%20GMT	http://amberdirect.weebly.com/	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/index.html	(from )
09:07:09	52010/52010	---M-Z	200	added ('OK')	text/html	etag:W/%2231bccd29b3087ade5e781b0ff02b696d%22	http://amberdirect.weebly.com/store/c1/Featured_Products.html	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/store/c1/Featured_Products.html	(from http://amberdirect.weebly.com/)
09:07:10	17767/17767	---M--	200	added ('OK')	image/jpeg	etag:%2258004897-4567%22	http://amberdirect.weebly.com/uploads/9/2/0/1/92017522/s991359902582598733_c2_i1_w275.jpeg	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/uploads/9/2/0/1/92017522/s991359902582598733_c2_i1_w275.jpg	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:11	214435/214435	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2021:47:30%20GMT	http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/css/sites371e.css	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:11	4102/4102	---M-Z	200	added ('OK')	text/css	etag:W/%22580000f2-1006%22	http://cdn2.editmysite.com/css/old/fancybox.css?1476398949	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/css/old/fancybox282a.css	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:11	12644/12644	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2021:47:30%20GMT	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1476398949	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/css/social-iconsd83d.css	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:11	27826/27826	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Oct%202016%2013:08:44%20GMT	http://amberdirect.weebly.com/files/main_style.css?1476623323	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/files/main_style7a4f.css	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:12	11168/11168	---M--	200	added ('OK')	image/jpeg	etag:%2258004877-2ba0%22	http://amberdirect.weebly.com/uploads/9/2/0/1/92017522/s991359902582598733_c3_i1_w274.jpeg	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/uploads/9/2/0/1/92017522/s991359902582598733_c3_i1_w274.jpg	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:12	17808/17808	---M--	200	added ('OK')	image/jpeg	etag:%22580048e2-4590%22	http://amberdirect.weebly.com/uploads/9/2/0/1/92017522/s991359902582598733_c4_i1_w259.jpeg	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/uploads/9/2/0/1/92017522/s991359902582598733_c4_i1_w259.jpg	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:12	132150/132150	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2013%20Oct%202016%2021:47:29%20GMT	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1476398949&	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/js/lang/en/stl9179.js	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:13	399864/399864	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22580000f1-619f8%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1476398949	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/js/site/main371e.js	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:15	65323/65323	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2013%20Oct%202016%2021:47:29%20GMT	http://cdn2.editmysite.com/js/site/commerce-core.js?buildTime=1476398949	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/js/site/commerce-core371e.js	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:15	35745/35745	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2013%20Oct%202016%2021:47:29%20GMT	http://cdn2.editmysite.com/js/site/main-commerce-browse.js?buildTime=1476398949	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/js/site/main-commerce-browse371e.js	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:16	19775/19775	---M-Z	200	added ('OK')	text/html	etag:W/%22f8b9f5287901e79c35dcd90fce3450f9%22	http://amberdirect.weebly.com/about.html	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/about.html	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:17	20916/20916	---M-Z	200	added ('OK')	text/html	etag:W/%22ab6892ce925db045330f9a7635f45bb2%22	http://amberdirect.weebly.com/contact.html	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/contact.html	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:19	48813/48813	---M-Z	200	added ('OK')	text/html	etag:W/%228a5e4d1107c37bfec99f1b37caf2fe6f%22	http://amberdirect.weebly.com/store/c2/Crafts.html	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/store/c2/Crafts.html	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
09:07:21	48825/48825	---M-Z	200	added ('OK')	text/html	etag:W/%2269031fb574518be9b0f771aa84ea39f1%22	http://amberdirect.weebly.com/store/c4/Novelties.html	C:/My%20Web%20Sites/amberd/amberdirect.weebly.com/store/c4/Novelties.html	(from http://amberdirect.weebly.com/store/c1/Featured_Products.html)
